日期,公司,收盘,开盘,高,低,交易量,涨跌幅
2019-10-03,BIDU,104.32,102.35,104.73,101.15,2.24,0.02 
2019-10-02,BIDU,102.62,100.85,103.24,99.5,2.69,0.01 
2019-10-01,BIDU,102,102.8,103.26,101,1.78,-0.01 
2019-10-03,BABA,169.48,166.65,170.18,165,10.39,0.02 
2019-10-02,BABA,165.77,162.82,166.88,161.9,11.6,0.00 
2019-10-01,BABA,165.15,168.01,168.23,163.64,14.19,-0.01 
2019-10-03,IQ,16.06,15.71,16.38,15.32,10.08,0.02 
2019-10-02,IQ,15.72,15.85,15.87,15.12,8.1,-0.01 
2019-10-01,IQ,15.92,16.14,16.22,15.5,11.65,-0.01 
2019-10-03,JD,28.8,28.11,28.97,27.82,8.77,0.03 
2019-10-02,JD,28.06,28,28.22,27.53,9.53,0.00 
2019-10-01,JD,28.19,28.22,28.57,27.97,10.64,0.00 
